iter	Passed	Remaining
968	17636	564
969	17654	546
970	17672	527
971	17690	509
972	17710	491
973	17729	473
974	17748	455
975	17769	436
976	17787	418
977	17806	400
978	17823	382
979	17842	364
980	17859	345
981	17877	327
982	17895	309
983	17914	291
984	17933	273
985	17951	254
986	17970	236
987	17989	218
988	18008	200
989	18026	182
990	18046	163
991	18066	145
992	18085	127
993	18103	109
994	18123	91
995	18141	72
996	18159	54
997	18178	36
998	18197	18
999	18215	0
